0,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY
1,Marseille,Toulouse,4,0,1,3
2,Angers,Nimes,3,4,2,2
3,Lille,Rennes,3,1,1,0
4,Montpellier,Dijon,1,2,2,2
5,Nantes,Monaco,1,3,1,0
6,Nice,Reims,0,1,1,2
7,St Etienne,Guingamp,2,1,3,1
8,Bordeaux,Strasbourg,0,2,1,0
9,Lyon,Amiens,2,0,0,2
10,Paris SG,Caen,3,0,1,0
11,Reims,Lyon,1,0,2,0
12,Amiens,Montpellier,1,2,1,3
13,Caen,Nice,1,1,2,2
14,Dijon,Nantes,2,0,0,1
15,Guingamp,Paris SG,1,3,0,1
16,Monaco,Lille,0,0,0,0
17,Rennes,Angers,1,0,1,2
18,Nimes,Marseille,3,1,3,1
19,Strasbourg,St Etienne,1,1,1,2
20,Toulouse,Bordeaux,2,1,1,1
21,Lyon,Strasbourg,2,0,1,2
22,Amiens,Reims,4,1,1,1
23,Montpellier,St Etienne,0,0,3,0
24,Nantes,Caen,1,1,2,3
25,Nice,Dijon,0,4,2,3
26,Paris SG,Angers,3,1,2,0
27,Toulouse,Nimes,1,0,1,3
28,Bordeaux,Monaco,2,1,1,2
29,Lille,Guingamp,3,0,2,1
30,Marseille,Rennes,2,2,1,1
31,Lyon,Nice,0,1,0,2
32,Angers,Lille,1,0,0,1
33,Dijon,Caen,0,2,0,3
34,Guingamp,Toulouse,1,2,3,2
35,Nimes,Paris SG,2,4,1,3
36,Reims,Montpellier,0,1,0,0
37,Strasbourg,Nantes,2,3,1,2
38,Monaco,Marseille,2,3,1,1
39,Rennes,Bordeaux,2,0,0,3
40,St Etienne,Amiens,0,0,3,2
41,Nice,Rennes,2,1,4,1
42,Paris SG,St Etienne,4,0,1,1
43,Amiens,Lille,2,3,1,2
44,Caen,Lyon,2,2,1,2
45,Dijon,Angers,1,3,2,2
46,Montpellier,Strasbourg,1,1,1,2
47,Toulouse,Monaco,1,1,2,3
48,Bordeaux,Nimes,3,3,2,0
49,Marseille,Guingamp,4,0,1,1
50,Nantes,Reims,0,0,3,4
51,Monaco,Nimes,1,1,1,2
52,Angers,Toulouse,0,0,1,2
53,Lille,Nantes,2,1,3,4
54,Montpellier,Nice,1,0,3,2
55,Reims,Dijon,0,0,1,1
56,St Etienne,Caen,2,1,2,3
57,Strasbourg,Amiens,3,1,1,4
58,Guingamp,Bordeaux,1,3,1,4
59,Lyon,Marseille,4,2,1,2
60,Rennes,Paris SG,1,3,2,3
61,Monaco,Angers,0,1,1,2
