0,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY
1,Monaco,Toulouse,3,2,1,3
2,Lyon,Strasbourg,4,0,2,3
3,Metz,Guingamp,1,3,1,2
4,Montpellier,Caen,1,0,2,1
5,Paris SG,Amiens,2,0,0,1
6,St Etienne,Nice,1,0,2,1
7,Troyes,Rennes,1,1,1,0
8,Angers,Bordeaux,2,2,3,2
9,Lille,Nantes,3,0,2,3
10,Marseille,Dijon,3,0,1,0
11,Nice,Troyes,1,2,2,3
12,Rennes,Lyon,1,2,1,3
13,Amiens,Angers,0,2,3,2
14,Bordeaux,Metz,2,0,1,2
15,Caen,St Etienne,0,1,1,1
16,Nantes,Marseille,0,1,1,3
17,Toulouse,Montpellier,1,0,4,3
18,Dijon,Monaco,1,4,0,2
19,Guingamp,Paris SG,0,3,2,2
20,Strasbourg,Lille,3,0,1,2
21,Metz,Monaco,0,1,2,1
22,Lyon,Bordeaux,3,3,2,2
23,Montpellier,Strasbourg,1,1,2,3
24,Nice,Guingamp,2,0,2,2
25,Rennes,Dijon,2,2,2,4
26,St Etienne,Amiens,3,0,2,2
27,Troyes,Nantes,0,1,1,0
28,Lille,Caen,0,2,2,2
29,Marseille,Angers,1,1,3,2
30,Paris SG,Toulouse,6,2,0,4
31,Paris SG,St Etienne,3,0,2,3
32,Amiens,Nice,3,0,3,3
33,Bordeaux,Troyes,2,1,0,1
34,Caen,Metz,1,0,2,2
35,Dijon,Montpellier,2,1,2,2
36,Nantes,Lyon,0,0,1,1
37,Toulouse,Rennes,3,2,4,3
38,Angers,Lille,1,1,2,5
39,Guingamp,Strasbourg,2,0,1,2
40,Monaco,Marseille,6,1,2,3
41,Lille,Bordeaux,0,0,2,4
42,Metz,Paris SG,1,5,0,1
43,Caen,Dijon,2,1,1,2
44,Montpellier,Nantes,0,1,1,2
45,Nice,Monaco,4,0,2,2
46,Strasbourg,Amiens,0,1,1,3
47,Troyes,Toulouse,0,0,2,3
48,Lyon,Guingamp,2,1,2,2
49,Marseille,Rennes,1,3,6,1
50,St Etienne,Angers,1,1,3,2
51,Toulouse,Bordeaux,0,1,3,1
52,Dijon,St Etienne,0,1,3,3
