,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY
59,Arsenal,West Brom,2,0,1,4
60,Bournemouth,Leicester,0,0,1,0
61,Chelsea,Man City,0,1,0,2
62,Huddersfield,Tottenham,0,4,1,1
63,Man United,Crystal Palace,4,0,0,0
64,Stoke,Southampton,2,1,1,2
65,West Brom,Watford,2,2,3,0
66,West Ham,Swansea,1,0,3,2
67,Arsenal,Brighton,2,0,0,2
68,Everton,Burnley,0,1,2,2
69,Newcastle,Liverpool,1,1,1,1
70,Burnley,West Ham,1,1,2,2
71,Crystal Palace,Chelsea,2,1,2,1
72,Liverpool,Man United,0,0,0,2
73,Man City,Stoke,7,2,0,1
74,Swansea,Huddersfield,2,0,1,5
75,Tottenham,Bournemouth,1,0,1,3
76,Watford,Arsenal,2,1,1,0
77,Brighton,Everton,1,1,4,1
78,Southampton,Newcastle,2,2,1,2
79,Leicester,West Brom,1,1,2,2
80,West Ham,Brighton,0,3,1,0
81,Chelsea,Watford,4,2,2,3
82,Huddersfield,Man United,2,1,4,2
83,Man City,Burnley,3,0,2,3
84,Newcastle,Crystal Palace,1,0,4,2
85,Southampton,West Brom,1,0,0,1
86,Stoke,Bournemouth,1,2,0,1
87,Swansea,Leicester,1,2,0,1
88,Everton,Arsenal,2,5,1,1
89,Tottenham,Liverpool,4,1,0,1
90,Arsenal,Swansea,2,1,0,0
91,Bournemouth,Chelsea,0,1,2,0
92,Crystal Palace,West Ham,2,2,1,2
93,Liverpool,Huddersfield,3,0,0,1
94,Man United,Tottenham,1,0,1,0
95,Watford,Stoke,0,1,4,4
96,West Brom,Man City,2,3,2,3
97,Brighton,Southampton,1,1,3,1
98,Leicester,Everton,2,0,0,2
99,Burnley,Newcastle,1,0,3,0
100,Huddersfield,West Brom,1,0,1,4
101,Newcastle,Bournemouth,0,1,2,2
102,Southampton,Burnley,0,1,0,0
103,Stoke,Leicester,2,2,0,0
104,Swansea,Brighton,0,1,2,1
105,West Ham,Liverpool,1,4,3,0
106,Chelsea,Man United,1,0,1,3
107,Everton,Watford,3,2,0,2
108,Man City,Arsenal,3,1,1,6
109,Tottenham,Crystal Palace,1,0,0,2
110,Arsenal,Tottenham,2,0,4,1
111,Bournemouth,Huddersfield,4,0,3,2
112,Burnley,Swansea,2,0,1,1
113,Crystal Palace,Everton,2,2,2,3
114,Leicester,Man City,0,2,1,1
115,Liverpool,Southampton,3,0,1,1
116,Man United,Newcastle,4,1,1,1
117,West Brom,Chelsea,0,4,2,3
118,Watford,West Ham,2,0,1,4
119,Brighton,Stoke,2,2,1,0
120,West Ham,Leicester,1,1,1,1
121,Crystal Palace,Stoke,2,1,1,1
122,Liverpool,Chelsea,1,1,0,0
123,Man United,Brighton,1,0,0,2
124,Newcastle,Watford,0,3,1,2
125,Swansea,Bournemouth,0,0,4,2
126,Tottenham,West Brom,1,1,1,4
127,Burnley,Arsenal,0,1,2,0
128,Huddersfield,Man City,1,2,2,3
129,Southampton,Everton,4,1,0,0
130,Brighton,Crystal Palace,0,0,2,0
131,Leicester,Tottenham,2,1,1,2
132,Watford,Man United,2,4,2,1
133,West Brom,Newcastle,2,2,0,0
134,Arsenal,Huddersfield,5,0,0,1
135,Bournemouth,Burnley,1,2,0,1
136,Chelsea,Swansea,1,0,1,0
137,Everton,West Ham,4,0,2,1
138,Man City,Southampton,2,1,1,1
139,Stoke,Liverpool,0,3,1,5
140,Arsenal,Man United,1,3,3,2
141,Brighton,Liverpool,1,5,1,0
142,Chelsea,Newcastle,3,1,0,1
143,Everton,Huddersfield,2,0,2,1
144,Leicester,Burnley,1,0,0,2
145,Stoke,Swansea,2,1,2,0
146,Watford,Tottenham,1,1,4,1
147,West Brom,Crystal Palace,0,0,3,1
148,Bournemouth,Southampton,1,1,2,1
149,Man City,West Ham,2,1,2,2
150,Burnley,Watford,1,0,1,0
151,Crystal Palace,Bournemouth,2,2,5,2
152,Huddersfield,Brighton,2,0,0,0
153,Newcastle,Leicester,2,3,2,1
154,Swansea,West Brom,1,0,2,5
155,Tottenham,Stoke,5,1,1,0
156,West Ham,Chelsea,1,0,6,1
157,Liverpool,Everton,1,1,1,3
158,Man United,Man City,1,2,4,2
159,Southampton,Arsenal,1,1,2,2
160,Burnley,Stoke,1,0,0,0
161,Crystal Palace,Watford,2,1,2,1
162,Huddersfield,Chelsea,1,3,0,0
163,Liverpool,West Brom,0,0,1,0
164,Man United,Bournemouth,1,0,1,2
165,Newcastle,Everton,0,1,1,2
166,Southampton,Leicester,1,4,1,0
167,Swansea,Man City,0,4,0,0
168,Tottenham,Brighton,2,0,1,1
169,West Ham,Arsenal,0,0,1,0
170,Arsenal,Newcastle,1,0,2,1
171,Brighton,Burnley,0,0,4,2
172,Chelsea,Southampton,1,0,1,3
173,Leicester,Crystal Palace,0,3,2,2
174,Man City,Tottenham,4,1,2,4
175,Stoke,West Ham,0,3,2,1
176,Watford,Huddersfield,1,4,2,1
177,Bournemouth,Liverpool,0,4,1,1
178,West Brom,Man United,1,2,1,3
179,Everton,Swansea,3,1,2,3
180,Arsenal,Liverpool,3,3,1,0
181,Brighton,Watford,1,0,0,0
182,Burnley,Tottenham,0,3,1,2
183,Everton,Chelsea,0,0,3,0
184,Leicester,Man United,2,2,2,2
185,Man City,Bournemouth,4,0,0,1
186,Southampton,Huddersfield,1,1,2,1
187,Stoke,West Brom,3,1,1,0
188,Swansea,Crystal Palace,1,1,2,3
189,West Ham,Newcastle,2,3,1,1
190,Bournemouth,West Ham,3,3,3,4
191,Chelsea,Brighton,2,0,0,1
192,Huddersfield,Stoke,1,1,2,4
193,Liverpool,Swansea,5,0,0,1
194,Man United,Burnley,2,2,3,7
195,Tottenham,Southampton,5,2,0,2
196,Watford,Leicester,2,1,3,3
197,West Brom,Everton,0,0,2,0
198,Newcastle,Man City,0,1,1,0
199,Crystal Palace,Arsenal,2,3,0,1
200,Bournemouth,Everton,2,1,0,0
201,Chelsea,Stoke,5,0,1,1
202,Huddersfield,Burnley,0,0,2,1
203,Liverpool,Leicester,2,1,3,2
204,Man United,Southampton,0,0,2,4
205,Newcastle,Brighton,0,0,2,2
206,Watford,Swansea,1,2,4,2
207,Crystal Palace,Man City,0,0,5,4
208,West Brom,Arsenal,1,1,3,3
209,Brighton,Bournemouth,2,2,2,1
210,Burnley,Liverpool,1,2,0,0
211,Everton,Man United,0,2,2,0
212,Leicester,Huddersfield,3,0,1,1
213,Stoke,Newcastle,0,1,3,1
214,Man City,Watford,3,1,1,1
215,Southampton,Crystal Palace,1,2,0,1
216,Swansea,Tottenham,0,2,2,2
217,West Ham,West Brom,2,1,3,2
218,Arsenal,Chelsea,2,2,3,2
219,Tottenham,West Ham,1,1,0,2
220,Chelsea,Leicester,0,0,2,2
221,Crystal Palace,Burnley,1,0,0,3
222,Huddersfield,West Ham,1,4,1,1
223,Newcastle,Swansea,1,1,0,3
224,Tottenham,Everton,4,0,0,2
225,Watford,Southampton,2,2,0,5
226,West Brom,Brighton,2,0,0,0
227,Bournemouth,Arsenal,2,1,2,2
228,Liverpool,Man City,4,3,2,3
229,Man United,Stoke,3,0,2,1
230,Arsenal,Crystal Palace,4,1,0,0
231,Brighton,Chelsea,0,4,3,0
232,Burnley,Man United,0,1,3,3
233,Everton,West Brom,1,1,2,1
234,Leicester,Watford,2,0,0,0
235,Man City,Newcastle,3,1,0,1
236,Stoke,Huddersfield,2,0,1,1
237,West Ham,Bournemouth,1,1,3,1
238,Southampton,Tottenham,1,1,2,3
239,Swansea,Liverpool,1,0,0,2
240,Huddersfield,Liverpool,0,3,0,0
241,Swansea,Arsenal,3,1,0,3
242,West Ham,Crystal Palace,1,1,1,3
243,Chelsea,Bournemouth,0,3,1,0
244,Everton,Leicester,2,1,0,2
245,Man City,West Brom,3,0,1,3
246,Newcastle,Burnley,1,1,1,2
247,Southampton,Brighton,1,1,3,1
248,Stoke,Watford,0,0,4,3
249,Tottenham,Man United,2,0,2,2
250,Arsenal,Everton,5,1,2,0
251,Bournemouth,Stoke,2,1,2,3
252,Brighton,West Ham,3,1,3,1
253,Burnley,Man City,1,1,4,1
254,Leicester,Swansea,1,1,1,0
255,Man United,Huddersfield,2,0,2,4
256,West Brom,Southampton,2,3,2,1
257,Crystal Palace,Newcastle,1,1,1,1
258,Liverpool,Tottenham,2,2,3,1
259,Watford,Chelsea,4,1,2,2
260,Everton,Crystal Palace,3,1,1,1
261,Man City,Leicester,5,1,2,3
262,Stoke,Brighton,1,1,0,0
263,Swansea,Burnley,1,0,2,1
264,Tottenham,Arsenal,1,0,2,1
265,West Ham,Watford,2,0,1,1
266,Huddersfield,Bournemouth,4,1,0,3
267,Newcastle,Man United,1,0,0,2
268,Southampton,Liverpool,0,2,1,2
269,Chelsea,West Brom,3,0,0,2
270,Bournemouth,Newcastle,2,2,1,4
271,Brighton,Swansea,4,1,1,0
272,Burnley,Southampton,1,1,1,0
273,Leicester,Stoke,1,1,1,3
274,Liverpool,West Ham,4,1,0,2
275,Watford,Everton,1,0,3,1
276,West Brom,Huddersfield,1,2,1,1
277,Crystal Palace,Tottenham,0,1,0,1
278,Man United,Chelsea,2,1,2,2
279,Arsenal,Man City,0,3,1,1
280,Burnley,Everton,2,1,1,1
281,Leicester,Bournemouth,1,1,2,1
282,Liverpool,Newcastle,2,0,0,0
283,Southampton,Stoke,0,0,0,1
284,Swansea,West Ham,4,1,0,3
285,Tottenham,Huddersfield,2,0,1,1
286,Watford,West Brom,1,0,2,0
287,Brighton,Arsenal,2,1,3,3
288,Man City,Chelsea,1,0,2,1
289,Crystal Palace,Man United,2,3,1,3
290,Chelsea,Crystal Palace,2,1,1,2
291,Everton,Brighton,2,0,0,1
292,Huddersfield,Swansea,0,0,2,3
293,Man United,Liverpool,2,1,2,1
294,Newcastle,Southampton,3,0,0,2
295,West Brom,Leicester,1,4,1,3
296,West Ham,Burnley,0,3,2,2
297,Arsenal,Watford,3,0,2,1
298,Bournemouth,Tottenham,1,4,1,1
299,Stoke,Man City,0,2,1,0
300,Bournemouth,West Brom,2,1,1,2
301,Huddersfield,Crystal Palace,0,2,3,2
302,Liverpool,Watford,5,0,1,0
303,Stoke,Everton,1,2,1,1
304,Brighton,Leicester,0,2,2,4
305,Crystal Palace,Liverpool,1,2,2,2
306,Everton,Man City,1,3,0,0
307,Man United,Swansea,2,0,0,0
308,Newcastle,Huddersfield,1,0,1,4
309,Watford,Bournemouth,2,2,4,0
310,West Brom,Burnley,1,2,1,3
311,West Ham,Southampton,3,0,0,3
312,Arsenal,Stoke,3,0,1,2
313,Chelsea,Tottenham,1,3,0,1
314,Bournemouth,Crystal Palace,2,2,2,2
315,Brighton,Huddersfield,1,1,1,0
316,Everton,Liverpool,0,0,0,0
317,Leicester,Newcastle,1,2,1,3
318,Man City,Man United,2,3,6,3
319,Stoke,Tottenham,1,2,4,3
320,Watford,Burnley,1,2,2,2
321,West Brom,Swansea,1,1,3,2
322,Arsenal,Southampton,3,2,2,1
323,Chelsea,West Ham,1,1,0,1
324,Burnley,Leicester,2,1,2,1
325,Crystal Palace,Brighton,3,2,3,2
326,Huddersfield,Watford,1,0,2,2
327,Liverpool,Bournemouth,3,0,1,1
328,Southampton,Chelsea,2,3,5,3
329,Swansea,Everton,1,1,1,1
330,Tottenham,Man City,1,3,3,4
331,Man United,West Brom,0,1,1,1
332,Newcastle,Arsenal,2,1,1,0
333,West Ham,Stoke,1,1,2,3
334,Brighton,Tottenham,1,1,1,0
335,Bournemouth,Man United,0,2,3,1
336,Burnley,Chelsea,1,2,1,0
337,Leicester,Southampton,0,0,0,0
338,Watford,Crystal Palace,0,0,3,5
339,West Brom,Liverpool,2,2,0,1
340,Arsenal,West Ham,4,1,3,2
341,Man City,Swansea,5,0,0,1
342,Stoke,Burnley,1,1,2,1
343,Everton,Newcastle,1,0,2,1
344,Burnley,Brighton,0,0,0,2
345,Crystal Palace,Leicester,5,0,1,1
346,Huddersfield,Everton,0,2,1,0
347,Liverpool,Stoke,0,0,1,2
348,Newcastle,West Brom,0,1,1,3
349,Southampton,Bournemouth,2,1,5,1
350,Swansea,Chelsea,0,1,1,1
351,Man United,Arsenal,2,1,0,1
352,West Ham,Man City,1,4,0,1
353,Tottenham,Watford,2,0,1,0
354,Brighton,Man United,1,0,2,0
355,Bournemouth,Swansea,1,0,1,4
356,Everton,Southampton,1,1,2,4
357,Leicester,West Ham,0,2,1,2
358,Stoke,Crystal Palace,1,2,5,2
359,Watford,Newcastle,2,1,2,1
360,West Brom,Tottenham,1,0,4,1
361,Arsenal,Burnley,5,0,0,1
362,Chelsea,Liverpool,1,0,3,2
363,Man City,Huddersfield,0,0,0,3
364,Swansea,Southampton,0,1,2,1
365,Chelsea,Huddersfield,1,1,0,1
366,Leicester,Arsenal,3,1,2,2
367,Man City,Brighton,3,1,0,1
368,Tottenham,Newcastle,1,0,2,3
369,West Ham,Man United,0,0,1,1
370,Burnley,Bournemouth,1,2,0,0
371,Crystal Palace,West Brom,2,0,2,3
372,Huddersfield,Arsenal,0,1,1,0
373,Liverpool,Brighton,4,0,0,0
374,Man United,Watford,1,0,4,0
375,Newcastle,Chelsea,3,0,0,1
376,Southampton,Man City,0,1,3,1
377,Swansea,Stoke,1,2,1,2
378,Tottenham,Leicester,5,4,1,2
379,West Ham,Everton,3,1,0,1
