,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY
0,Arsenal,Leicester,4,3,0,1
1,Brighton,Man City,0,2,0,2
2,Chelsea,Burnley,2,3,3,3
3,Crystal Palace,Huddersfield,0,3,1,3
4,Everton,Stoke,1,0,1,1
5,Southampton,Swansea,0,0,2,1
6,Watford,Liverpool,3,3,0,3
7,West Brom,Bournemouth,1,0,3,1
8,Man United,West Ham,4,0,2,2
9,Newcastle,Tottenham,0,2,1,2
10,Bournemouth,Watford,0,2,1,3
11,Burnley,West Brom,0,1,1,0
12,Leicester,Brighton,2,0,1,0
13,Liverpool,Crystal Palace,1,0,1,3
14,Southampton,West Ham,3,2,1,1
15,Stoke,Arsenal,1,0,0,0
16,Swansea,Man United,0,4,1,1
17,Huddersfield,Newcastle,1,0,3,4
18,Tottenham,Chelsea,1,2,3,3
19,Man City,Everton,1,1,1,2
20,Bournemouth,Man City,1,2,5,4
21,Crystal Palace,Swansea,0,2,4,1
22,Huddersfield,Southampton,0,0,0,1
23,Man United,Leicester,2,0,1,2
24,Newcastle,West Ham,3,0,1,3
25,Watford,Brighton,0,0,0,1
26,Chelsea,Everton,2,0,2,2
27,Liverpool,Arsenal,4,0,2,4
28,Tottenham,Burnley,1,1,0,0
29,West Brom,Stoke,1,1,2,2
30,Arsenal,Bournemouth,3,0,0,1
31,Brighton,West Brom,3,1,2,0
32,Everton,Tottenham,0,3,3,1
33,Leicester,Chelsea,1,2,1,0
34,Man City,Liverpool,5,0,2,2
35,Southampton,Watford,0,2,0,0
36,Stoke,Man United,2,2,0,0
37,Burnley,Crystal Palace,1,0,1,1
38,Swansea,Newcastle,0,1,2,3
39,West Ham,Huddersfield,2,0,1,2
40,Bournemouth,Brighton,2,1,0,0
41,Crystal Palace,Southampton,0,1,5,1
42,Huddersfield,Leicester,1,1,1,1
43,Liverpool,Burnley,1,1,1,2
44,Newcastle,Stoke,2,1,3,1
45,Tottenham,Swansea,0,0,1,3
46,Watford,Man City,0,6,2,0
47,West Brom,West Ham,0,0,2,2
48,Chelsea,Arsenal,0,0,1,3
49,Man United,Everton,4,0,1,1
50,Burnley,Huddersfield,0,0,3,2
51,Everton,Bournemouth,2,1,3,1
52,Leicester,Liverpool,2,3,3,3
53,Man City,Crystal Palace,5,0,3,1
54,Southampton,Man United,0,1,1,4
55,Stoke,Chelsea,0,4,2,2
56,Swansea,Watford,1,2,1,3
57,West Ham,Tottenham,2,3,4,2
58,Brighton,Newcastle,1,0,2,1
