,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY
0,Burnley,Swansea,0,1,3,2
1,Crystal Palace,West Brom,0,1,2,2
2,Everton,Tottenham,1,1,0,0
3,Hull,Leicester,2,1,2,2
4,Man City,Sunderland,2,1,1,2
5,Middlesbrough,Stoke,1,1,3,5
6,Southampton,Watford,1,1,1,2
7,Arsenal,Liverpool,3,4,3,3
8,Bournemouth,Man United,1,3,0,1
9,Chelsea,West Ham,2,1,5,2
10,Man United,Southampton,2,0,0,0
11,Burnley,Liverpool,2,0,0,1
12,Leicester,Arsenal,0,0,1,2
13,Stoke,Man City,1,4,3,4
14,Swansea,Hull,0,2,0,0
15,Tottenham,Crystal Palace,1,0,3,3
16,Watford,Chelsea,1,2,4,3
17,West Brom,Everton,1,2,3,1
18,Sunderland,Middlesbrough,1,2,1,1
19,West Ham,Bournemouth,1,0,3,1
20,Chelsea,Burnley,3,0,2,2
21,Crystal Palace,Bournemouth,1,1,2,1
22,Everton,Stoke,1,0,2,1
23,Hull,Man United,0,1,2,3
24,Leicester,Swansea,2,1,2,2
25,Southampton,Sunderland,1,1,2,2
26,Tottenham,Liverpool,1,1,3,5
27,Watford,Arsenal,1,3,6,1
28,Man City,West Ham,3,1,1,3
29,West Brom,Middlesbrough,0,0,1,3
30,Arsenal,Southampton,2,1,2,5
31,Bournemouth,West Brom,1,0,1,3
32,Burnley,Hull,1,1,2,0
33,Liverpool,Leicester,4,1,1,2
34,Man United,Man City,1,2,4,2
35,Middlesbrough,Crystal Palace,1,2,1,2
36,Stoke,Tottenham,0,4,3,2
37,West Ham,Watford,2,4,2,2
38,Swansea,Chelsea,2,2,3,4
39,Sunderland,Everton,0,3,1,1
40,Chelsea,Liverpool,1,2,1,1
41,Everton,Middlesbrough,3,1,2,1
42,Hull,Arsenal,1,4,0,2
43,Leicester,Burnley,3,0,0,1
44,Man City,Bournemouth,4,0,1,1
45,West Brom,West Ham,4,2,2,1
46,Crystal Palace,Stoke,4,1,2,1
47,Southampton,Swansea,1,0,1,1
48,Tottenham,Sunderland,1,0,1,5
