,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY
151,Bournemouth,Liverpool,0,4,2,1
152,Burnley,Brighton,1,0,2,0
153,Cardiff,Southampton,1,0,2,2
154,Chelsea,Man City,2,0,2,0
155,Leicester,Tottenham,0,2,3,1
156,Man United,Fulham,4,1,1,1
157,West Ham,Crystal Palace,3,2,1,2
158,Newcastle,Wolves,1,2,2,5
159,Everton,Watford,2,2,1,1
160,Crystal Palace,Leicester,1,0,2,1
161,Fulham,West Ham,0,2,2,1
162,Huddersfield,Newcastle,0,1,1,1
163,Man City,Everton,3,1,1,2
164,Tottenham,Burnley,1,0,0,2
165,Watford,Cardiff,3,2,0,0
166,Wolves,Bournemouth,2,0,1,2
167,Brighton,Chelsea,1,2,2,2
168,Liverpool,Man United,3,1,0,2
169,Southampton,Arsenal,3,2,3,1
170,Wolves,Liverpool,0,2,0,0
171,Arsenal,Burnley,3,1,2,5
172,Bournemouth,Brighton,2,0,2,0
173,Cardiff,Man United,1,5,2,1
174,Chelsea,Leicester,0,1,0,2
175,Huddersfield,Southampton,1,3,2,3
176,Man City,Crystal Palace,2,3,0,4
177,Newcastle,Fulham,0,0,1,2
178,West Ham,Watford,0,2,3,2
179,Everton,Tottenham,2,6,0,2
180,Brighton,Arsenal,1,1,2,1
181,Burnley,Everton,1,5,2,4
182,Crystal Palace,Cardiff,0,0,0,3
183,Fulham,Wolves,1,1,2,1
184,Leicester,Man City,2,1,2,2
185,Liverpool,Newcastle,4,0,0,0
186,Man United,Huddersfield,3,1,1,1
187,Tottenham,Bournemouth,5,0,2,1
188,Watford,Chelsea,1,2,1,0
189,Southampton,West Ham,1,2,2,0
190,Brighton,Everton,1,0,0,2
191,Fulham,Huddersfield,1,0,3,1
192,Leicester,Cardiff,0,1,0,2
193,Liverpool,Arsenal,5,1,1,2
194,Tottenham,Wolves,1,3,3,2
195,Watford,Newcastle,1,1,1,2
196,Burnley,West Ham,2,0,1,4
197,Crystal Palace,Chelsea,0,1,0,1
198,Man United,Bournemouth,4,1,2,0
199,Southampton,Man City,1,3,2,3
200,Arsenal,Fulham,4,1,0,1
201,Cardiff,Tottenham,0,3,1,0
202,Everton,Leicester,0,1,3,1
203,Bournemouth,Watford,3,3,1,4
204,Chelsea,Southampton,0,0,1,2
205,Huddersfield,Burnley,1,2,0,4
206,Newcastle,Man United,0,2,1,2
207,West Ham,Brighton,2,2,0,1
208,Wolves,Crystal Palace,0,2,4,1
209,Man City,Liverpool,2,1,4,2
210,Brighton,Liverpool,0,1,0,0
211,Burnley,Fulham,2,1,1,2
212,Cardiff,Huddersfield,0,0,3,1
213,Chelsea,Newcastle,2,1,1,1
214,Crystal Palace,Watford,1,2,1,4
215,Leicester,Southampton,1,2,2,1
216,West Ham,Arsenal,1,0,0,2
217,Everton,Bournemouth,2,0,5,0
218,Tottenham,Man United,0,1,1,2
219,Man City,Wolves,3,0,1,0
220,Arsenal,Chelsea,2,0,0,2
221,Bournemouth,West Ham,2,0,0,1
222,Liverpool,Crystal Palace,4,3,0,1
223,Man United,Brighton,2,1,1,0
224,Newcastle,Cardiff,3,0,0,1
225,Southampton,Everton,2,1,2,1
226,Watford,Burnley,0,0,1,2
227,Wolves,Leicester,4,3,3,3
228,Fulham,Tottenham,1,2,2,3
229,Huddersfield,Man City,0,3,2,2
230,Arsenal,Cardiff,2,1,3,3
231,Fulham,Brighton,4,2,2,3
232,Huddersfield,Everton,0,1,1,4
233,Man United,Burnley,2,2,1,3
234,Newcastle,Man City,2,1,2,3
235,Wolves,West Ham,3,0,4,1
236,Bournemouth,Chelsea,4,0,1,0
237,Liverpool,Leicester,1,1,1,3
238,Southampton,Crystal Palace,1,1,2,2
239,Tottenham,Watford,2,1,0,4
240,Brighton,Watford,0,0,1,0
241,Burnley,Southampton,1,1,3,1
242,Cardiff,Bournemouth,2,0,1,2
243,Chelsea,Huddersfield,5,0,0,0
244,Crystal Palace,Fulham,2,0,2,3
245,Everton,Wolves,1,3,3,1
246,Tottenham,Newcastle,1,0,0,1
247,Leicester,Man United,0,1,4,4
248,Man City,Arsenal,3,1,1,1
249,West Ham,Liverpool,1,1,1,1
250,Everton,Man City,0,2,1,1
251,Brighton,Burnley,1,3,1,1
252,Crystal Palace,West Ham,1,1,3,0
253,Fulham,Man United,0,3,3,2
254,Huddersfield,Arsenal,1,2,3,2
255,Liverpool,Bournemouth,3,0,2,2
256,Southampton,Cardiff,1,2,3,3
257,Watford,Everton,1,0,2,0
258,Man City,Chelsea,6,0,1,2
259,Tottenham,Leicester,3,1,3,1
260,Wolves,Newcastle,1,1,1,3
261,Cardiff,Watford,1,5,1,2
262,West Ham,Fulham,3,1,1,1
263,Bournemouth,Wolves,1,1,4,5
264,Burnley,Tottenham,2,1,1,3
265,Leicester,Crystal Palace,1,4,2,1
266,Newcastle,Huddersfield,2,0,2,0
267,Arsenal,Southampton,2,0,0,0
268,Man United,Liverpool,0,0,1,3
269,Cardiff,Everton,0,3,3,1
270,Huddersfield,Wolves,1,0,2,2
271,Leicester,Brighton,2,1,1,1
272,Newcastle,Burnley,2,0,1,3
273,Arsenal,Bournemouth,5,1,2,2
274,Chelsea,Tottenham,2,0,1,1
275,Crystal Palace,Man United,1,3,2,3
276,Liverpool,Watford,5,0,0,2
277,Man City,West Ham,1,0,0,2
278,Southampton,Fulham,2,0,0,1
279,Bournemouth,Man City,0,1,1,2
280,Brighton,Huddersfield,1,0,2,2
281,Burnley,Crystal Palace,1,3,1,2
282,Man United,Southampton,3,2,2,1
283,Tottenham,Arsenal,1,1,3,2
284,West Ham,Newcastle,2,0,3,4
285,Wolves,Cardiff,2,0,1,2
286,Everton,Liverpool,0,0,1,2
287,Fulham,Chelsea,1,2,2,1
288,Watford,Leicester,2,1,5,1
289,Cardiff,West Ham,2,0,2,1
290,Crystal Palace,Brighton,1,2,1,5
291,Huddersfield,Bournemouth,0,2,3,1
292,Leicester,Fulham,3,1,0,2
293,Man City,Watford,3,1,1,1
294,Newcastle,Everton,3,2,3,1
295,Southampton,Tottenham,2,1,4,2
296,Arsenal,Man United,2,0,2,2
297,Chelsea,Wolves,1,1,1,4
298,Liverpool,Burnley,4,2,2,0
299,Bournemouth,Newcastle,2,2,3,2
300,Burnley,Leicester,1,2,1,1
301,West Ham,Huddersfield,4,3,0,2
302,Everton,Chelsea,2,0,1,2
303,Fulham,Liverpool,1,2,2,1
304,Brighton,Southampton,0,1,1,2
305,Burnley,Wolves,2,0,1,1
306,Crystal Palace,Huddersfield,2,0,0,0
307,Fulham,Man City,0,2,2,0
308,Leicester,Bournemouth,2,0,0,2
309,Man United,Watford,2,1,1,2
310,West Ham,Everton,0,2,1,1
311,Cardiff,Chelsea,1,2,2,3
312,Liverpool,Tottenham,2,1,0,1
313,Arsenal,Newcastle,2,0,2,0
314,Watford,Fulham,4,1,3,2
315,Wolves,Man United,2,1,1,2
316,Chelsea,Brighton,3,0,0,0
317,Man City,Cardiff,2,0,0,3
318,Tottenham,Crystal Palace,2,0,1,0
319,Southampton,Liverpool,1,3,2,4
320,Bournemouth,Burnley,1,3,2,3
321,Huddersfield,Leicester,1,4,3,0
322,Newcastle,Crystal Palace,0,1,1,2
323,Everton,Arsenal,1,0,1,4
324,Chelsea,West Ham,2,0,2,1
325,Leicester,Newcastle,0,1,2,3
326,Brighton,Bournemouth,0,5,2,4
327,Burnley,Cardiff,2,0,2,3
328,Fulham,Everton,2,0,2,1
329,Man United,West Ham,2,1,1,1
330,Southampton,Wolves,3,1,1,3
331,Tottenham,Huddersfield,4,0,2,2
332,Crystal Palace,Man City,1,3,0,0
333,Liverpool,Chelsea,2,0,0,1
334,Watford,Arsenal,0,1,2,0
335,Brighton,Cardiff,0,2,0,1
336,Bournemouth,Fulham,0,1,1,3
337,Huddersfield,Watford,1,2,2,2
338,Man City,Tottenham,1,0,1,2
339,Newcastle,Southampton,3,1,0,2
340,West Ham,Leicester,2,2,2,0
341,Wolves,Brighton,0,0,0,1
342,Arsenal,Crystal Palace,2,3,4,1
